"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3584","[TC-PROF-02][P1] แก้ไขชื่อและ email สำเร็จ","chromium","2026-09-01","skipped","2026-09-01","Profile","profile/TC_PROF_001_profile.spec.ts","",""
"","3296","[TC-ORD-03][P1] ดูรายละเอียด order","chromium","2026-09-01","passed","2026-09-01","Orders","orders/TC_ORD_001_orders.spec.ts","",""
"","3197","GET /api/auth/me — valid token returns current user profile","chromium","2026-09-01","passed","2026-09-01","API — Auth","api/auth.api.spec.ts","",""
"","3744","[TC-AUTH-06][P0] Login สำเร็จ — Admin","chromium","2026-09-01","passed","2026-09-01","Authentication — Login","auth/TC_AUTH_001_login_success.spec.ts","",""
"","5608","[TC-CHK-01][P1] Checkout form โหลดพร้อม summary","chromium","2026-09-01","passed","2026-09-01","Checkout","checkout/TC_CHK_001_checkout.spec.ts","",""
"","3274","[TC-ORD-02][P1] แสดงรายการออเดอร์","chromium","2026-09-01","skipped","2026-09-01","Orders","orders/TC_ORD_001_orders.spec.ts","",""
"","3605","[TC-DASH-01][P1] Stats cards โหลดครบ","chromium","2026-09-01","passed","2026-09-01","Admin — Dashboard","admin/TC_DASH_001_dashboard.spec.ts","",""
"","883","[TC-AUTH-04][P2] สมัคร — password ไม่ตรงกัน","chromium","2026-09-01","passed","2026-09-01","Authentication — Register","auth/TC_AUTH_002_register.spec.ts","",""
"","1105","[TC-HOME-03][P2] คลิก Category card","chromium","2026-09-01","passed","2026-09-01","Homepage","home/TC_HOME_001_homepage.spec.ts","",""
"","5637","[TC-CHK-03][P2] Pre-fill ที่อยู่จาก profile","chromium","2026-09-01","passed","2026-09-01","Checkout","checkout/TC_CHK_001_checkout.spec.ts","",""
"","1231","[TC-PROD-02][P1] ค้นหาด้วยชื่อสินค้า","chromium","2026-09-01","passed","2026-09-01","Products — Product List","products/TC_PROD_001_product_list.spec.ts","",""
"","744","[TC-PROD-08][P2] Filter หลายเงื่อนไขพร้อมกัน","chromium","2026-09-01","passed","2026-09-01","Products — Product List","products/TC_PROD_001_product_list.spec.ts","",""
"","1011","[TC-I18N-02][P1] เปลี่ยนกลับเป็นภาษาไทย","chromium","2026-09-01","passed","2026-09-01","i18n — Language Switching","i18n/TC_I18N_001_language.spec.ts","",""
"","4468","[TC-PROF-04][P1] เปลี่ยนรหัสผ่าน — current ผิด","chromium","2026-09-01","passed","2026-09-01","Profile","profile/TC_PROF_001_profile.spec.ts","",""
"","4881","[TC-APROD-01][P1] รายการสินค้า","chromium","2026-09-01","passed","2026-09-01","Admin — Products Management","admin/TC_APROD_001_admin_products.spec.ts","",""
